"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-12","0.09","0.0","0.0","69","57","58",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-13","0.00","0.0","0.0","71","54","69",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-14","0.00","0.0","0.0","75","54","69",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-15","0.05","0.0","0.0","73","62","65",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-16","0.04","0.0","0.0","76","59","65",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-17","0.00","0.0","0.0","74","51","68",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-18","0.00","0.0","0.0","75","54","73",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-19","0.00","0.0","0.0","76","64","71",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-20","0.01","0.0","0.0","75","63","73",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-21","0.00","0.0","0.0","80","65","69","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-22","0.00","0.0","0.0","78","67","76",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-23","0.19","0.0","0.0","80","58","63",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-24","0.00","0.0","0.0","72","54","69",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-25","0.09","0.0","0.0","74","61","68",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-26","0.00","0.0","0.0","76","64","68","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-27","0.00","0.0","0.0","80","68","71",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-28","0.00","0.0","0.0","80","68","73",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-29","0.00","0.0","0.0","81","69","78",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-06-30","0.00","0.0","0.0","86","69","78",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-07-01","0.04","0.0","0.0","83","69","80",,"    1",
